id,name,src
grassland,草原,assets/battle-backgrounds/grassland.png
forest,森林,assets/battle-backgrounds/forest.png
lakeside,湖泊,assets/battle-backgrounds/lakeside.png
tropical-beach,沙滩,assets/battle-backgrounds/tropical-beach.png
ocean-rafts,海洋木筏,assets/battle-backgrounds/ocean-rafts.png
ceremonial-stage,仪式舞台,assets/battle-backgrounds/ceremonial-stage.png
snowfield,雪原,assets/battle-backgrounds/snowfield.png
neon-downtown,闹市夜景,assets/battle-backgrounds/neon-downtown.png
champion-stage,冠军舞台,assets/battle-backgrounds/champion-stage.png
mountain-route,山地,assets/battle-backgrounds/mountain-route.png
