trainer_id,trainer_name_zh,trainer_type,trainer_tier,species_id,species,count,source_names
champion:城都地区:阿渡:1,阿渡,champion,champion,dragonite,Dragonite,5,快龙
champion:城都地区:阿渡:1,阿渡,champion,champion,gyarados,Gyarados,4,暴鲤龙
champion:城都地区:阿渡:1,阿渡,champion,champion,aerodactyl,Aerodactyl,4,化石翼龙
champion:城都地区:阿渡:1,阿渡,champion,champion,dragonair,Dragonair,2,哈克龙
champion:城都地区:阿渡:1,阿渡,champion,champion,seadra,Seadra,2,海刺龙
champion:城都地区:阿渡:1,阿渡,champion,champion,charizard,Charizard,2,喷火龙
champion:城都地区:阿渡:1,阿渡,champion,champion,kingdra,Kingdra,1,刺龙王
champion:城都地区:阿渡:1,阿渡,champion,champion,exeggutor,Exeggutor,1,椰蛋树
champion:丰缘地区:大吾:1,大吾,champion,champion,metagross,Metagross,20,manual-high-confidence
champion:丰缘地区:大吾:1,大吾,champion,champion,aggron,Aggron,20,manual-high-confidence
champion:丰缘地区:大吾:1,大吾,champion,champion,skarmory,Skarmory,20,manual-high-confidence
champion:丰缘地区:大吾:1,大吾,champion,champion,cradily,Cradily,20,manual-high-confidence
champion:丰缘地区:大吾:1,大吾,champion,champion,armaldo,Armaldo,20,manual-high-confidence
champion:丰缘地区:大吾:1,大吾,champion,champion,claydol,Claydol,20,manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,milotic,Milotic,22,美纳斯|manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,whiscash,Whiscash,21,鲶鱼王|manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,gyarados,Gyarados,20,manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,tentacruel,Tentacruel,20,manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,ludicolo,Ludicolo,20,manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,wailord,Wailord,20,manual-high-confidence
champion:丰缘地区:米可利:2,米可利,champion,champion,luvdisc,Luvdisc,1,爱心鱼
champion:丰缘地区:米可利:2,米可利,champion,champion,sealeo,Sealeo,1,海魔狮
champion:丰缘地区:米可利:2,米可利,champion,champion,seaking,Seaking,1,金鱼王
champion:关都地区:赤红:2,赤红,champion,champion,pikachu,Pikachu,20,manual-high-confidence
champion:关都地区:赤红:2,赤红,champion,champion,charizard,Charizard,20,manual-high-confidence
champion:关都地区:赤红:2,赤红,champion,champion,venusaur,Venusaur,20,manual-high-confidence
champion:关都地区:赤红:2,赤红,champion,champion,blastoise,Blastoise,20,manual-high-confidence
champion:关都地区:赤红:2,赤红,champion,champion,snorlax,Snorlax,20,manual-high-confidence
champion:关都地区:赤红:2,赤红,champion,champion,lapras,Lapras,20,manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,exeggutor,Exeggutor,24,椰蛋树|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,gyarados,Gyarados,23,暴鲤龙|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,pidgeot,Pidgeot,23,大比鸟|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,arcanine,Arcanine,23,风速狗|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,alakazam,Alakazam,22,胡地|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,rhydon,Rhydon,22,钻角犀兽|manual-high-confidence
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,machamp,Machamp,2,怪力
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,tauros,Tauros,1,肯泰罗
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,aerodactyl,Aerodactyl,1,化石翼龙
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,charizard,Charizard,1,喷火龙
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,rhyperior,Rhyperior,1,超甲狂犀
champion:关都地区:小茂-青绿:1,小茂 / 青绿,champion,champion,tyranitar,Tyranitar,1,班基拉斯
champion:合众地区:阿戴克:1,阿戴克,champion,champion,volcarona,Volcarona,20,manual-high-confidence
champion:合众地区:阿戴克:1,阿戴克,champion,champion,bouffalant,Bouffalant,20,manual-high-confidence
champion:合众地区:阿戴克:1,阿戴克,champion,champion,accelgor,Accelgor,20,manual-high-confidence
champion:合众地区:阿戴克:1,阿戴克,champion,champion,escavalier,Escavalier,20,manual-high-confidence
champion:合众地区:阿戴克:1,阿戴克,champion,champion,druddigon,Druddigon,20,manual-high-confidence
champion:合众地区:阿戴克:1,阿戴克,champion,champion,vanilluxe,Vanilluxe,20,manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,druddigon,Druddigon,21,赤面龙|manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,haxorus,Haxorus,21,双斧战龙|manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,hydreigon,Hydreigon,20,manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,aggron,Aggron,20,manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,archeops,Archeops,20,manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,lapras,Lapras,20,manual-high-confidence
champion:合众地区:艾莉丝:2,艾莉丝,champion,champion,fraxure,Fraxure,1,斧牙龙
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,gardevoir,Gardevoir,20,manual-high-confidence
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,hawlucha,Hawlucha,20,manual-high-confidence
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,tyrantrum,Tyrantrum,20,manual-high-confidence
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,aurorus,Aurorus,20,manual-high-confidence
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,goodra,Goodra,20,manual-high-confidence
champion:卡洛斯地区:卡露妮:1,卡露妮,champion,champion,gourgeist,Gourgeist,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,garchomp,Garchomp,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,lucario,Lucario,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,milotic,Milotic,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,roserade,Roserade,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,spiritomb,Spiritomb,20,manual-high-confidence
champion:神奥地区:竹兰:1,竹兰,champion,champion,togekiss,Togekiss,20,manual-high-confidence
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,drifblim,Drifblim,2,随风球
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,dhelmise,Dhelmise,2,破破舵轮
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,froslass,Froslass,2,雪妖女
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,palossand,Palossand,2,噬沙堡爷
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,sableye,Sableye,1,勾魂眼
elite4:阿罗拉地区:阿塞萝拉:3,阿塞萝拉,elite4,elite4,banette,Banette,1,诅咒娃娃
elite4:阿罗拉地区:哈拉:1,哈拉,elite4,elite4,hariyama,Hariyama,1,铁掌力士
elite4:阿罗拉地区:哈拉:1,哈拉,elite4,elite4,primeape,Primeape,1,火暴猴
elite4:阿罗拉地区:哈拉:1,哈拉,elite4,elite4,bewear,Bewear,1,穿着熊
elite4:阿罗拉地区:哈拉:1,哈拉,elite4,elite4,poliwrath,Poliwrath,1,蚊香泳士
elite4:阿罗拉地区:哈拉:1,哈拉,elite4,elite4,crabominable,Crabominable,1,好胜毛蟹
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,oricorio,Oricorio,2,花舞鸟
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,mandibuzz,Mandibuzz,2,秃鹰娜
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,toucannon,Toucannon,2,铳嘴大鸟
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,skarmory,Skarmory,1,盔甲鸟
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,crobat,Crobat,1,叉字蝠
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,braviary,Braviary,1,勇士雄鹰
elite4:阿罗拉地区:卡希丽:4,卡希丽,elite4,elite4,hawlucha,Hawlucha,1,摔角鹰人
elite4:阿罗拉地区:丽姿:2,丽姿,elite4,elite4,probopass,Probopass,2,大朝北鼻
elite4:阿罗拉地区:丽姿:2,丽姿,elite4,elite4,lycanroc,Lycanroc,2,鬃岩狼人
elite4:阿罗拉地区:丽姿:2,丽姿,elite4,elite4,relicanth,Relicanth,1,古空棘鱼
elite4:阿罗拉地区:丽姿:2,丽姿,elite4,elite4,carbink,Carbink,1,小碎钻
elite4:阿罗拉地区:丽姿:2,丽姿,elite4,elite4,golem,Golem,1,隆隆岩
