pool_id,battle_rule_preset,trainer_id,trainer_name_zh,team_index,slot,species_id,species,species_tier,stage_tier,generation_profile,source
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,1,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,1,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,1,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,2,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,2,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,2,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,3,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,3,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,3,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,4,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,4,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,none,gym:关都地区:小刚:1,小刚,4,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,1,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,1,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,1,3,altaria,Altaria,5,5,tier2,mega-system-fill-theme
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,2,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,2,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,2,3,altaria,Altaria,5,5,tier2,mega-system-fill-theme
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,3,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,3,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,3,3,altaria,Altaria,5,5,tier2,mega-system-fill-theme
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,4,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,4,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen7,gym:关都地区:小刚:1,小刚,4,3,altaria,Altaria,5,5,tier2,mega-system-fill-theme
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,1,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,1,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,1,3,coalossal,Coalossal,5,5,tier2,gmax-system-fill-theme
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,2,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,2,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,2,3,coalossal,Coalossal,5,5,tier2,gmax-system-fill-theme
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,3,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,3,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,3,3,coalossal,Coalossal,5,5,tier2,gmax-system-fill-theme
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,4,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,4,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen8,gym:关都地区:小刚:1,小刚,4,3,coalossal,Coalossal,5,5,tier2,gmax-system-fill-theme
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,1,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,1,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,1,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,2,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,2,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,2,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,3,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,3,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,3,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,4,1,omastar,Omastar,5,4,tier1,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,4,2,kabutops,Kabutops,5,4,tier2,representative-near-tier
gym:tier1:小刚,gen9,gym:关都地区:小刚:1,小刚,4,3,golem,Golem,5,5,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,1,1,quagsire,Quagsire,4,4,tier1,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,1,2,dewgong,Dewgong,4,4,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,1,3,golduck,Golduck,5,5,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,2,1,quagsire,Quagsire,4,4,tier1,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,2,2,dewgong,Dewgong,4,4,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,2,3,golduck,Golduck,5,5,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,3,1,quagsire,Quagsire,4,4,tier1,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,3,2,dewgong,Dewgong,4,4,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,3,3,golduck,Golduck,5,5,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,4,1,quagsire,Quagsire,4,4,tier1,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,4,2,dewgong,Dewgong,4,4,tier2,representative-exact-tier
gym:tier1:小霞,none,gym:关都地区:小霞:2,小霞,4,3,golduck,Golduck,5,5,tier2,representative-exact-tier
