id,hp,revive,pp,pp_scope,status,stat_kind,stat,amount,scope,battle_usable,notes
potion,20,,0,,none,,,,,1,restore 20 hp
freshwater,30,,0,,none,,,,,1,restore 30 hp
sodapop,50,,0,,none,,,,,1,restore 50 hp
superpotion,60,,0,,none,,,,,1,restore 60 hp
lemonade,70,,0,,none,,,,,1,restore 70 hp
moomoomilk,100,,0,,none,,,,,1,restore 100 hp
hyperpotion,120,,0,,none,,,,,1,restore 120 hp
maxpotion,full,,0,,none,,,,,1,restore full hp
fullrestore,full,,0,,all,,,,,1,restore full hp and clear status
energypowder,60,,0,,none,,,,,1,restore 60 hp
energyroot,120,,0,,none,,,,,1,restore 120 hp
oranberry,10,,0,,none,,,,,1,restore 10 hp
sitrusberry,25%,,0,,none,,,,,1,restore quarter max hp
revive,,half,0,,none,,,,,1,revive with half hp
maxrevive,,full,0,,none,,,,,1,revive with full hp
revivalherb,,full,0,,none,,,,,1,revive with full hp
ether,,,10,one,none,,,,,1,restore 10 pp to one move
maxether,,,full,one,none,,,,,1,restore full pp to one move
elixir,,,10,all,none,,,,,1,restore 10 pp to all moves
maxelixir,,,full,all,none,,,,,1,restore full pp to all moves
leppaberry,,,10,one,none,,,,,1,restore 10 pp to one move
fullheal,,,0,,all,,,,,1,clear status
healpowder,,,0,,all,,,,,1,clear status
antidote,,,0,,psn|tox,,,,,1,clear poison
burnheal,,,0,,brn,,,,,1,clear burn
iceheal,,,0,,frz,,,,,1,clear freeze
awakening,,,0,,slp,,,,,1,clear sleep
paralyzeheal,,,0,,par,,,,,1,clear paralysis
lumberry,,,0,,all,,,,,1,clear status
cheriberry,,,0,,par,,,,,1,clear paralysis
chestoberry,,,0,,slp,,,,,1,clear sleep
pechaberry,,,0,,psn|tox,,,,,1,clear poison
rawstberry,,,0,,brn,,,,,1,clear burn
aspearberry,,,0,,frz,,,,,1,clear freeze
pomegberry,,,,,none,ev,hp,-10,one,0,lower hp ev
kelpsyberry,,,,,none,ev,atk,-10,one,0,lower attack ev
qualotberry,,,,,none,ev,def,-10,one,0,lower defense ev
hondewberry,,,,,none,ev,spa,-10,one,0,lower special attack ev
grepaberry,,,,,none,ev,spd,-10,one,0,lower special defense ev
tamatoberry,,,,,none,ev,spe,-10,one,0,lower speed ev
hpup,,,,,none,ev,hp,100,one,0,raise hp ev
protein,,,,,none,ev,atk,100,one,0,raise attack ev
iron,,,,,none,ev,def,100,one,0,raise defense ev
calcium,,,,,none,ev,spa,100,one,0,raise special attack ev
zinc,,,,,none,ev,spd,100,one,0,raise special defense ev
carbos,,,,,none,ev,spe,100,one,0,raise speed ev
bottlecap,,,,,none,iv,,31,one,0,set one iv to 31
goldbottlecap,,,,,none,iv,,31,all,0,set all ivs to 31
