item_id,item_type,item_name,item_cost
elixir,item,Elixir,150
fullrestore,item,Full Restore,200
hyperpotion,item,Hyper Potion,120
hpup,item,HP Up,50
protein,item,Protein,50
iron,item,Iron,50
calcium,item,Calcium,50
zinc,item,Zinc,50
carbos,item,Carbos,50
maxelixir,item,Max Elixir,200
maxpotion,item,Max Potion,160
maxrevive,item,Max Revive,200
potion,item,Potion,20
revivalherb,item,Revival Herb,160
revive,item,Revive,120
superpotion,item,Super Potion,50
abomasite,item,Abomasite,500
absolite,item,Absolite,500
absorbbulb,item,Absorb Bulb,500
adamantorb,item,Adamant Orb,500
adrenalineorb,item,Adrenaline Orb,500
aerodactylite,item,Aerodactylite,500
aggronite,item,Aggronite,500
aguavberry,item,Aguav Berry,20
airballoon,item,Air Balloon,500
alakazite,item,Alakazite,500
aloraichiumz,item,Aloraichium Z,500
altarianite,item,Altarianite,500
ampharosite,item,Ampharosite,500
apicotberry,item,Apicot Berry,30
armorfossil,item,Armor Fossil,500
aspearberry,item,Aspear Berry,10
assaultvest,item,Assault Vest,800
audinite,item,Audinite,500
babiriberry,item,Babiri Berry,10
banettite,item,Banettite,500
beastball,item,Beast Ball,500
beedrillite,item,Beedrillite,500
berry,item,Berry,10
berryjuice,item,Berry Juice,10
berserkgene,item,Berserk Gene,500
bignugget,item,Big Nugget,500
bigroot,item,Big Root,500
bindingband,item,Binding Band,500
bitterberry,item,Bitter Berry,10
blackbelt,item,Black Belt,500
blackglasses,item,Black Glasses,500
blacksludge,item,Black Sludge,700
blastoisinite,item,Blastoisinite,500
blazikenite,item,Blazikenite,500
blueorb,item,Blue Orb,500
blukberry,item,Bluk Berry,10
bottlecap,item,Bottle Cap,100
brightpowder,item,Bright Powder,500
buginiumz,item,Buginium Z,500
bugmemory,item,Bug Memory,500
burndrive,item,Burn Drive,500
burntberry,item,Burnt Berry,10
cameruptite,item,Cameruptite,500
cellbattery,item,Cell Battery,500
charcoal,item,Charcoal,500
charizarditex,item,Charizardite X,500
charizarditey,item,Charizardite Y,500
chartiberry,item,Charti Berry,10
cheriberry,item,Cheri Berry,10
chestoberry,item,Chesto Berry,10
chilanberry,item,Chilan Berry,10
chilldrive,item,Chill Drive,500
choiceband,item,Choice Band,900
choicescarf,item,Choice Scarf,900
choicespecs,item,Choice Specs,900
chopleberry,item,Chople Berry,10
clawfossil,item,Claw Fossil,500
cobaberry,item,Coba Berry,10
colburberry,item,Colbur Berry,10
coverfossil,item,Cover Fossil,500
custapberry,item,Custap Berry,30
damprock,item,Damp Rock,500
darkiniumz,item,Darkinium Z,500
darkmemory,item,Dark Memory,500
dawnstone,item,Dawn Stone,500
decidiumz,item,Decidium Z,500
deepseascale,item,Deep Sea Scale,500
deepseatooth,item,Deep Sea Tooth,500
destinyknot,item,Destiny Knot,500
diancite,item,Diancite,500
diveball,item,Dive Ball,500
domefossil,item,Dome Fossil,500
dousedrive,item,Douse Drive,500
dracoplate,item,Draco Plate,500
dragonfang,item,Dragon Fang,500
dragoniumz,item,Dragonium Z,500
dragonmemory,item,Dragon Memory,500
dragonscale,item,Dragon Scale,500
dreadplate,item,Dread Plate,500
dubiousdisc,item,Dubious Disc,500
duskball,item,Dusk Ball,500
duskstone,item,Dusk Stone,500
earthplate,item,Earth Plate,500
eeviumz,item,Eevium Z,500
ejectbutton,item,Eject Button,500
electirizer,item,Electirizer,500
electricmemory,item,Electric Memory,500
electricseed,item,Electric Seed,500
electriumz,item,Electrium Z,500
enigmaberry,item,Enigma Berry,20
eviolite,item,Eviolite,800
expertbelt,item,Expert Belt,500
fairiumz,item,Fairium Z,500
fairymemory,item,Fairy Memory,500
fastball,item,Fast Ball,500
fightingmemory,item,Fighting Memory,500
