id,type,region,role,tier,name_zh,name_en,front_asset,front_gif_asset,back_asset,avatar_asset,team_pool_ids,enabled,notes
player:斗也,player,,玩家,,斗也,Black,assets/npc/player-front/斗也-bw_black.png,,assets/npc/player-back/斗也-bw_touya_back.png,assets/npc/avatars/斗也-blackchallenge.png,,1,Black|Touya|Hilbert|斗也|鬥也
player:斗子,player,,玩家,,斗子,White,assets/npc/player-front/斗子-bw_white.png,,assets/npc/player-back/斗子-bw_touko_back.png,assets/npc/avatars/斗子-whitechallenge.png,,1,White|Touko|Hilda|斗子|鬥子
player:共平,player,,玩家,,共平,Nate,assets/npc/player-front/共平-spr_b2w2_nate.png,,assets/npc/player-back/共平-b2w2_nate_back.png,assets/npc/avatars/共平-natechallenge.png,,1,Nate|共平
player:光辉,player,,玩家,,光辉,Lucas,assets/npc/player-front/光辉-pt_lucas.png,,assets/npc/player-back/光辉-pt_lucas_back.png,assets/npc/avatars/光辉-lucaschallenge.png,,1,Lucas|光辉|光輝
player:鸣依,player,,玩家,,鸣依,Rosa,assets/npc/player-front/鸣依-spr_b2w2_rosa.png,,assets/npc/player-back/鸣依-b2w2_rosa_back.png,assets/npc/avatars/鸣依-rosachallenge2.png,,1,Rosa|鸣依|鳴依
player:琴音,player,,玩家,,琴音,Lyra,assets/npc/player-front/琴音-hgss_lyra.png,,assets/npc/player-back/琴音-hgss_kotone_back.png,assets/npc/avatars/琴音-lyrachallenge.png,,1,Lyra|Kotone|琴音
player:响,player,,玩家,,响,Ethan,assets/npc/player-front/响-hgss_ethan.png,,assets/npc/player-back/响-hgss_gold_back.png,assets/npc/avatars/响-ethanchallenge.png,,1,Ethan|Gold|Hibiki|响|響
player:小光,player,,玩家,,小光,Dawn,assets/npc/player-front/小光-dp_dawn.png,,assets/npc/player-back/小光-dp_dawn_back.png,assets/npc/avatars/小光-dawnchallenge.png,,1,Dawn|小光
gym:关都地区:小刚:1,gym,关都地区,馆主,tier1,小刚,Brock,assets/npc/boss/小刚-brockhgss.gif,assets/npc/boss/小刚-gif-brockhgss.gif,,,gym:tier1:小刚,1,关都地区|馆主|Brock|小刚|小剛
gym:关都地区:小霞:2,gym,关都地区,馆主,tier1,小霞,Misty,assets/npc/boss/小霞-mistyhgss.gif,assets/npc/boss/小霞-gif-mistyhgss.gif,,assets/npc/avatars/小霞-vsmisty.png,gym:tier1:小霞,1,关都地区|馆主|Misty|小霞
gym:关都地区:马志士:3,gym,关都地区,馆主,tier1,马志士,Lt Surge,assets/npc/boss/马志士-ltsurgehgss.gif,assets/npc/boss/马志士-gif-ltsurgehgss.gif,,,gym:tier1:马志士,1,关都地区|馆主|Lt Surge|LtSurge|Lt_Surge|马志士|馬志士
gym:关都地区:莉佳:4,gym,关都地区,馆主,tier1,莉佳,Erika,assets/npc/boss/莉佳-erikahgss.gif,assets/npc/boss/莉佳-gif-erikahgss.gif,,,gym:tier1:莉佳,1,关都地区|馆主|Erika|莉佳
