species_id,species,base_species,types,bst,bulk_score,random_battle_level,eviolite_bulk_bonus,random_set_item,random_set_eviolite_bonus,score,tier,override_tier,source,notes
wishiwashi,Wishiwashi,Wishiwashi,Water,175,90,89,0,Leftovers,0,253,1,,showdown-randbats+auto-score,
blipbug,Blipbug,Blipbug,Bug,180,90,,0,,0,135,1,,auto-score,nfe
sunkern,Sunkern,Sunkern,Grass,180,90,,0,,0,135,1,,auto-score,nfe
snom,Snom,Snom,Ice|Bug,185,95,,0,,0,140,1,,auto-score,nfe
azurill,Azurill,Azurill,Normal|Fairy,190,130,,0,,0,145,1,,auto-score,nfe
kricketot,Kricketot,Kricketot,Bug,194,119,,0,,0,149,1,,auto-score,nfe
caterpie,Caterpie,Caterpie,Bug,195,100,,0,,0,150,1,,auto-score,nfe
weedle,Weedle,Weedle,Bug|Poison,195,90,,0,,0,150,1,,auto-score,nfe
wurmple,Wurmple,Wurmple,Bug,195,110,,0,,0,150,1,,auto-score,nfe
ralts,Ralts,Ralts,Psychic|Fairy,198,88,,0,,0,153,1,,auto-score,nfe
feebas,Feebas,Feebas,Water,200,95,,0,,0,155,1,,auto-score,nfe
magikarp,Magikarp,Magikarp,Water,200,95,,0,,0,155,1,,auto-score,nfe
scatterbug,Scatterbug,Scatterbug,Bug,200,103,,0,,0,155,1,,auto-score,nfe
cascoon,Cascoon,Cascoon,Bug,205,130,,0,,0,160,1,,auto-score,nfe
kakuna,Kakuna,Kakuna,Bug|Poison,205,120,,0,,0,160,1,,auto-score,nfe
metapod,Metapod,Metapod,Bug,205,130,,0,,0,160,1,,auto-score,nfe
pichu,Pichu,Pichu,Electric,205,70,,0,,0,160,1,,auto-score,nfe
pichuspikyeared,Pichu-Spiky-eared,Pichu,Electric,205,70,,0,,0,250,1,,auto-score,
silcoon,Silcoon,Silcoon,Bug,205,130,,0,,0,160,1,,auto-score,nfe
bounsweet,Bounsweet,Bounsweet,Grass,210,118,,0,,0,165,1,,auto-score,nfe
igglybuff,Igglybuff,Igglybuff,Normal|Fairy,210,125,,0,,0,165,1,,auto-score,nfe
nymble,Nymble,Nymble,Bug,210,98,,0,,0,165,1,,auto-score,nfe
tarountula,Tarountula,Tarountula,Bug,210,120,,0,,0,165,1,,auto-score,nfe
tyrogue,Tyrogue,Tyrogue,Fighting,210,105,,0,,0,165,1,,auto-score,nfe
wooper,Wooper,Wooper,Water|Ground,210,125,,0,,0,165,1,,auto-score,nfe
wooperpaldea,Wooper-Paldea,Wooper,Poison|Ground,210,125,,0,,0,165,1,,auto-score,nfe
spewpa,Spewpa,Spewpa,Bug,213,135,,0,,0,168,1,,auto-score,nfe
sentret,Sentret,Sentret,Normal,215,114,,0,,0,170,1,,auto-score,nfe
