pool_id,battle_rule_preset,trainer_id,trainer_name_zh,team_index,slot,species_id,species,species_tier,stage_tier,generation_profile,source
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,1,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,1,2,nidoking,Nidoking,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,1,3,nidoqueen,Nidoqueen,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,1,4,rhyperior,Rhyperior,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,2,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,2,2,persian,Persian,4,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,2,3,rhyperior,Rhyperior,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,none,villain:彩虹火箭队:坂木:1,坂木,2,4,nidoking,Nidoking,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,1,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,1,2,nidoking,Nidoking,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,1,3,nidoqueen,Nidoqueen,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,1,4,rhyperior,Rhyperior,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,2,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,2,2,persian,Persian,4,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,2,3,rhyperior,Rhyperior,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen7,villain:彩虹火箭队:坂木:1,坂木,2,4,nidoking,Nidoking,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,1,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,1,2,nidoking,Nidoking,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,1,3,nidoqueen,Nidoqueen,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,1,4,rhyperior,Rhyperior,6,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,2,1,mewtwo,Mewtwo,10,10,champion,rainbow-rocket-curated
rainbow_rocket:坂木,gen8,villain:彩虹火箭队:坂木:1,坂木,2,2,persian,Persian,4,10,champion,rainbow-rocket-curated
