species_id,name,national_dex,sprite_index,image,confidence,note
bulbasaur,Bulbasaur,1,1,assets/pokemon-green/pokemon/0001/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
ivysaur,Ivysaur,2,2,assets/pokemon-green/pokemon/0002/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
venusaur,Venusaur,3,3,assets/pokemon-green/pokemon/0003/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
venusaurgmax,Venusaur-Gmax,3,3,assets/pokemon-green/pokemon/0003/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
venusaurmega,Venusaur-Mega,3,254,assets/pokemon-green/pokemon/0254/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
charmander,Charmander,4,4,assets/pokemon-green/pokemon/0004/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
charmeleon,Charmeleon,5,5,assets/pokemon-green/pokemon/0005/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
charizard,Charizard,6,6,assets/pokemon-green/pokemon/0006/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
charizardgmax,Charizard-Gmax,6,252,assets/pokemon-green/pokemon/0252/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
charizardmegax,Charizard-Mega-X,6,1079,assets/pokemon-green/pokemon/1079/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
charizardmegay,Charizard-Mega-Y,6,6,assets/pokemon-green/pokemon/0006/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
squirtle,Squirtle,7,7,assets/pokemon-green/pokemon/0007/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
wartortle,Wartortle,8,8,assets/pokemon-green/pokemon/0008/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
blastoise,Blastoise,9,9,assets/pokemon-green/pokemon/0009/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
blastoisegmax,Blastoise-Gmax,9,9,assets/pokemon-green/pokemon/0009/front_normal.png,base-species-fallback,edit this row if the sprite is wrong
blastoisemega,Blastoise-Mega,9,253,assets/pokemon-green/pokemon/0253/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
caterpie,Caterpie,10,10,assets/pokemon-green/pokemon/0010/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
metapod,Metapod,11,11,assets/pokemon-green/pokemon/0011/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
butterfree,Butterfree,12,12,assets/pokemon-green/pokemon/0012/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
butterfreegmax,Butterfree-Gmax,12,259,assets/pokemon-green/pokemon/0259/front_normal.png,manual-verified,manual contact-sheet match; edit this row if the sprite is wrong
weedle,Weedle,13,13,assets/pokemon-green/pokemon/0013/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
kakuna,Kakuna,14,14,assets/pokemon-green/pokemon/0014/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
beedrill,Beedrill,15,15,assets/pokemon-green/pokemon/0015/front_normal.png,emerald-internal-index,edit this row if the sprite is wrong
